ROWID,ORDERID,ORDERDATE,ORDERPRIOTORITY,ORDERQUANTITY,SALES,DISCOUNT,SHIPMODE,PROFIT,UNITPRICE,SHIPPINGCOSTS,CUSTOMERNAME,PROVINCE,REGION,CUSTOMERSEGMENT,PRODUCTCATEGORY,PRODUCTSUBCATEGORY,PRODUCTNAME,PRODUCTCONTAINER,PRODUCTBASEMARGIN,SHIPDATE,DATASET,ORDER_YEAR,ORDER_MONTH,SHIP_YEAR,SHIP_MONTH
128,807,2020-11-23,Medium,32,124.56,0.04,Regular Air,-13.9001,3.95,2.0,Neola Schneider,Nunavut,Nunavut,Home Office,Office Supplies,Rubber Bands,Advantus Map Pennant Flags and Round Head Tacks,Wrap Bag,0.5141,2020-11-24,Superstore,2020,11,2020,11
134,868,2022-06-08,Not Specified,32,716.84,0.0,Regular Air,130.67839999999998,21.78,5.94,Carlos Daly,Nunavut,Nunavut,Home Office,Office Supplies,Appliances,Holmes HEPA Air Purifier,Medium Box,0.485,2022-06-09,Superstore,2022,6,2022,6
135,868,2022-06-08,Not Specified,31,1474.33,0.04,Regular Air,111.0262,47.98,3.61,Carlos Daly,Nunavut,Nunavut,Home Office,Technology,Computer Peripherals,"DS/HD IBM Formatted Diskettes, 200/Pack - Staples",Small Pack,0.6887,2022-06-10,Superstore,2022,6,2022,6
149,933,2022-08-04,Not Specified,15,80.61,0.02,Regular Air,-4.72,5.28,2.99,Claudia Miner,Nunavut,Nunavut,Small Business,Office Supplies,Binders and Binder Accessories,"Wilson Jones 1"" Hanging DublLockÂ Ring Binders",Small Box,0.37,2022-08-04,Superstore,2022,8,2022,8
160,995,2021-05-30,Medium,46,1815.49,0.03,Regular Air,759.4227,39.89,3.04,Neola Schneider,Nunavut,Nunavut,Home Office,Furniture,Office Furnishings,Ultra Commercial Grade Dual Valve Door Closer,Wrap Bag,0.5141,2021-05-31,Superstore,2021,5,2021,5
161,998,2019-11-25,Not Specified,16,248.26,0.07,Regular Air,93.8,15.74,1.39,Allen Rosenblatt,Nunavut,Nunavut,Small Business,Office Supplies,Envelopes,"#10-4 1/8"" x 9 1/2"" Premium Diagonal Seam Envelopes",Small Box,0.4,2019-11-26,Superstore,2019,11,2019,11
175,1154,2022-02-14,Critical,44,4462.23,0.04,Delivery Truck,427.4984,100.98,26.22,Sylvia Foulston,Nunavut,Nunavut,Home Office,Furniture,Bookcases,Hon 4-Shelf Metal Bookcases,Jumbo Box,0.582,2022-02-16,Superstore,2022,2,2022,2
176,1154,2022-02-14,Critical,11,663.784,0.25,Regular Air,-466.6088,71.37,69.0,Sylvia Foulston,Nunavut,Nunavut,Home Office,Furniture,Tables,"Lesro Sheffield Collection Coffee Table, End Table, Center Table, Corner Table",Large Box,0.6596000000000001,2022-02-16,Superstore,2022,2,2022,2
203,1344,2022-04-15,Low,15,834.904,0.06,Regular Air,-12.3808,65.99,5.26,Jim Radford,Nunavut,Nunavut,Corporate,Technology,Telephones and Communication,g520,Small Box,0.6254,2022-04-22,Superstore,2022,4,2022,4
204,1344,2022-04-15,Low,18,2480.9205,0.01,Regular Air,332.3948,155.99,8.99,Jim Radford,Nunavut,Nunavut,Corporate,Technology,Telephones and Communication,LX 788,Small Box,0.6148,2022-04-19,Superstore,2022,4,2022,4
213,1412,2020-03-12,Not Specified,13,59.03,0.1,Express Air,23.4204,3.69,0.5,Carlos Soltero,Nunavut,Nunavut,Consumer,Office Supplies,Labels,Avery 52,Small Box,0.3306,2020-03-14,Superstore,2020,3,2020,3
214,1412,2020-03-12,Not Specified,21,97.48,0.05,Regular Air,-5.0199,4.71,0.7,Carlos Soltero,Nunavut,Nunavut,Consumer,Office Supplies,Rubber Bands,Plymouth Boxed Rubber Bands by Plymouth,Wrap Bag,0.6960000000000001,2020-03-14,Superstore,2020,3,2020,3
229,1539,2021-03-09,Low,33,511.83,0.1,Regular Air,-183.2528,15.99,13.18,Carl Ludwig,Nunavut,Nunavut,Corporate,Office Supplies,Binders and Binder Accessories,"GBC Pre-Punched Binding Paper, Plastic, White, 8-1/2"" x 11""",Small Box,0.3922,2021-03-11,Superstore,2021,3,2021,3
230,1539,2021-03-09,Low,38,184.99,0.05,Regular Air,-153.223,4.89,4.93,Carl Ludwig,Nunavut,Nunavut,Corporate,Technology,Computer Peripherals,"Maxell 3.5"" DS/HD IBM-Formatted Diskettes, 10/Pack",Small Pack,0.6996000000000001,2021-03-14,Superstore,2021,3,2021,3
231,1540,2022-08-04,High,30,80.9,0.09,Regular Air,5.587199999999999,2.88,0.7,Don Miller,Nunavut,Nunavut,Home Office,Office Supplies,Pens & Art Supplies,Newell 335,Wrap Bag,0.5432,2022-08-06,Superstore,2022,8,2022,8
249,1702,2021-05-06,High,23,67.24,0.06,Regular Air,4.753,2.84,0.93,Annie Cyprus,Nunavut,Nunavut,Home Office,Office Supplies,Pens & Art Supplies,SANFORD Liquid AccentÈ Tank-Style Highlighters,Wrap Bag,0.5238,2021-05-07,Superstore,2021,5,2021,5
250,1761,2020-12-23,High,25,12028.23,0.01,Delivery Truck,-580.4666000000001,449.99,49.0,Carl Ludwig,Nunavut,Nunavut,Corporate,Technology,Copiers and Fax,Canon PC940 Copier,Jumbo Drum,0.4028,2020-12-25,Superstore,2020,12,2020,12
256,1792,2020-11-08,Low,28,370.48,0.04,Regular Air,-4.7415,13.48,4.51,Carlos Soltero,Nunavut,Nunavut,Consumer,Office Supplies,Storage & Organization,"Tenex Personal Project File with Scoop Front Design, Black",Small Box,0.5133,2020-11-13,Superstore,2020,11,2020,11
330,2275,2022-10-21,Not Specified,49,278.0,0.08,Regular Air,41.67,6.08,1.17,Grant Carroll,Nunavut,Nunavut,Small Business,Office Supplies,Pens & Art Supplies,Col-EraseÂ Pencils with Erasers,Wrap Bag,0.56,2022-10-22,Superstore,2022,10,2022,10
331,2277,2021-01-01,Not Specified,10,66.54,0.01,Regular Air,-44.6491,5.98,4.38,Don Miller,Nunavut,Nunavut,Home Office,Technology,Computer Peripherals,"Imation 3.5"" DS/HD IBM Formatted Diskettes, 10/Pack",Small Pack,0.7275,2021-01-02,Superstore,2021,1,2021,1
332,2277,2021-01-01,Not Specified,21,845.32,0.06,Regular Air,32.6599,40.99,19.99,Don Miller,Nunavut,Nunavut,Home Office,Office Supplies,Paper,"White Dual Perf Computer Printout Paper, 2700 Sheets, 1 Part, Heavyweight, 20 lbs., 14 7/8 x 11",Small Box,0.3491999999999999,2021-01-03,Superstore,2021,1,2021,1
362,2532,2021-10-10,High,39,282.07,0.03,Regular Air,148.4106,7.31,0.49,Alan Barnes,Nunavut,Nunavut,Corporate,Office Supplies,Labels,Self-Adhesive Address Labels for Typewriters by Universal,Small Box,0.4028,2021-10-11,Superstore,2021,10,2021,10
363,2532,2021-10-10,High,24,426.037,0.01,Regular Air,-83.6976,20.99,2.5,Alan Barnes,Nunavut,Nunavut,Corporate,Technology,Telephones and Communication,Accessory37,Wrap Bag,0.8586000000000001,2021-10-11,Superstore,2021,10,2021,10
381,2631,2020-09-23,Low,27,1078.49,0.08,Regular Air,267.81960000000004,40.96,1.99,Jack Garza,Nunavut,Nunavut,Corporate,Technology,Computer Peripherals,Fuji 5.2GB DVD-RAM,Small Pack,0.5830000000000001,2020-09-25,Superstore,2020,9,2020,9
406,2757,2021-07-19,Critical,39,3554.46,0.07,Delivery Truck,-1871.9706,95.95,74.35,Julia West,Nunavut,Nunavut,Corporate,Furniture,Chairs & Chairmats,Bevis Steel Folding Chairs,Jumbo Drum,0.6042,2021-07-19,Superstore,2021,7,2021,7
413,2791,2019-10-09,High,47,191.67,0.0,Regular Air,-250.44620000000003,3.89,7.01,Eugene Barchas,Nunavut,Nunavut,Corporate,Office Supplies,Binders and Binder Accessories,Avery Binder Labels,Small Box,0.3922,2019-10-09,Superstore,2019,10,2019,10
414,2791,2019-10-09,High,49,5586.33,0.09,Delivery Truck,85.2664,120.98,30.0,Eugene Barchas,Nunavut,Nunavut,Corporate,Furniture,Chairs & Chairmats,Hon Every-DayÂ Chair Series Swivel Task Chairs,Jumbo Drum,0.6784,2019-10-11,Superstore,2019,10,2019,10
415,2791,2019-10-09,High,18,507.64,0.1,Regular Air,126.0764,30.98,5.76,Eugene Barchas,Nunavut,Nunavut,Corporate,Office Supplies,Paper,"IBM Multi-Purpose Copy Paper, 8 1/2 x 11"", Case",Small Box,0.424,2019-10-10,Superstore,2019,10,2019,10
440,2976,2020-12-09,Not Specified,30,14223.82,0.09,Delivery Truck,2979.0714,500.98,26.0,Edward Hooks,Nunavut,Nunavut,Consumer,Furniture,Chairs & Chairmats,Global TroyÈ Executive Leather Low-Back Tilter,Jumbo Drum,0.522,2020-12-11,Superstore,2020,12,2020,12
471,3232,2022-10-08,Critical,5,42.66,0.06,Regular Air,-11.83,7.84,4.71,Brad Eason,Nunavut,Nunavut,Small Business,Office Supplies,Binders and Binder Accessories,XtraLifeÂ ClearVueÈ Slant-DÂ Ring Binders by Cardinal,Small Box,0.35,2022-10-10,Superstore,2022,10,2022,10
513,3524,2022-05-02,High,21,427.32,0.0,Regular Air,52.35,18.97,9.03,Nicole Hansen,Nunavut,Nunavut,Small Business,Office Supplies,Paper,Computer Printout Paper with Letter-Trim Perforations,Small Box,0.37,2022-05-03,Superstore,2022,5,2022,5
577,3908,2020-03-08,Medium,8,820.284,0.0,Regular Air,-191.012,115.99,2.5,Dorothy Wardle,Nunavut,Nunavut,Corporate,Technology,Telephones and Communication,6160,Small Box,0.6042,2020-03-08,Superstore,2020,3,2020,3
606,4132,2021-05-28,Not Specified,5,14.76,0.01,Regular Air,1.3992000000000002,2.88,0.5,Aaron Bergman,Nunavut,Nunavut,Corporate,Office Supplies,Labels,Avery 49,Small Box,0.3816,2021-05-30,Superstore,2021,5,2021,5
656,4612,2020-09-19,Medium,9,89.55,0.06,Regular Air,-398.1784,4.48,49.0,Jim Radford,Nunavut,Nunavut,Corporate,Office Supplies,Appliances,Hoover PortapowerÈ Portable Vacuum,Large Box,0.636,2020-09-21,Superstore,2020,9,2020,9
669,4676,2021-08-31,High,11,1210.0515,0.04,Regular Air,-101.1225,125.99,7.69,Annie Cyprus,Nunavut,Nunavut,Home Office,Technology,Telephones and Communication,Timeport L7089,Small Box,0.5626,2021-09-01,Superstore,2021,8,2021,9
670,4676,2021-08-31,High,50,187.83,0.03,Regular Air,83.38119999999999,3.75,0.5,Annie Cyprus,Nunavut,Nunavut,Home Office,Office Supplies,Labels,Avery 510,Small Box,0.3589,2021-09-02,Superstore,2021,8,2021,9
671,4676,2021-08-31,High,3,49.59,0.07,Express Air,-8.1286,12.28,6.47,Annie Cyprus,Nunavut,Nunavut,Home Office,Office Supplies,Paper,Xerox 1881,Small Box,0.3686,2021-09-02,Superstore,2021,8,2021,9
672,4676,2021-08-31,High,30,4253.009,0.01,Regular Air,1082.2193,155.99,8.99,Annie Cyprus,Nunavut,Nunavut,Home Office,Technology,Telephones and Communication,LX 788,Small Box,0.5626,2021-09-01,Superstore,2021,8,2021,9
734,5284,2021-07-08,Not Specified,7,59.38,0.1,Regular Air,-2.9585,8.69,2.99,Annie Cyprus,Nunavut,Nunavut,Home Office,Office Supplies,Binders and Binder Accessories,"Cardinal Slant-DÂ Ring Binder, Heavy Gauge Vinyl",Small Box,0.3783,2021-07-10,Superstore,2021,7,2021,7
735,5316,2019-01-30,Critical,42,1285.37,0.1,Regular Air,544.9142,31.78,1.99,Clay Rozendal,Nunavut,Nunavut,Corporate,Technology,Computer Peripherals,"Memorex 4.7GB DVD-RAM, 3/Pack",Small Pack,0.4452,2019-02-01,Superstore,2019,1,2019,2
755,5409,2022-01-08,Low,11,48.91,0.01,Regular Air,-7.462400000000001,3.98,2.97,Don Jones,Nunavut,Nunavut,Corporate,Office Supplies,Paper,Unpadded Memo Slips,Wrap Bag,0.371,2022-01-13,Superstore,2022,1,2022,1
769,5506,2020-11-07,Critical,22,129.62,0.05,Regular Air,4.674600000000001,5.88,3.04,Beth Thompson,Nunavut,Nunavut,Corporate,Office Supplies,Paper,"Adams Telephone Message Book W/Dividers/Space For Phone Numbers, 5 1/4""X8 1/2"", 300/Messages",Wrap Bag,0.3816,2020-11-08,Superstore,2020,11,2020,11
782,5569,2020-04-29,Not Specified,12,118.97,0.09,Regular Air,-0.0636,9.65,6.22,Frank Price,Nunavut,Nunavut,Corporate,Furniture,Office Furnishings,"Eldon ExpressionsÈ Desk Accessory, Wood Pencil Holder, Oak",Small Box,0.5830000000000001,2020-05-01,Superstore,2020,4,2020,5
786,5607,2021-12-31,Not Specified,8,61.8715,0.0,Regular Air,-48.8201,7.99,5.03,Michelle Lonsdale,Nunavut,Nunavut,Home Office,Technology,Telephones and Communication,Bell Sonecor JB700 Caller ID,Medium Box,0.582,2022-01-03,Superstore,2021,12,2022,1
817,5894,2019-08-12,High,7,384.33,0.1,Regular Air,92.9408,58.1,1.49,Ann Chong,Nunavut,Nunavut,Corporate,Office Supplies,Binders and Binder Accessories,Avery Arch Ring Binders,Small Box,0.4028,2019-08-13,Superstore,2019,8,2019,8
818,5894,2019-08-12,High,3,239.03,0.01,Regular Air,-72.31320000000001,80.48,4.5,Ann Chong,Nunavut,Nunavut,Corporate,Office Supplies,Appliances,APC 7 Outlet Network SurgeArrest Surge Protector,Small Box,0.5830000000000001,2019-08-15,Superstore,2019,8,2019,8
821,5925,2021-11-12,Low,44,3922.42,0.08,Regular Air,-344.253,92.23,39.61,Joy Bell,Nunavut,Nunavut,Home Office,Furniture,Office Furnishings,"Deflect-o RollaMat Studded, Beveled Mat for Medium Pile Carpeting",Medium Box,0.6499,2021-11-19,Superstore,2021,11,2021,11
822,5925,2021-11-12,Low,25,1733.3625,0.07,Regular Air,-258.9997,85.99,0.99,Joy Bell,Nunavut,Nunavut,Home Office,Technology,Telephones and Communication,Accessory4,Wrap Bag,0.8245,2021-11-19,Superstore,2021,11,2021,11
839,6016,2022-01-20,High,19,208.28,0.07,Regular Air,3.5211,11.48,5.43,Skye Norling,Nunavut,Nunavut,Home Office,Office Supplies,Paper,Personal CreationsÈ Ink Jet Cards and Labels,Small Box,0.3491999999999999,2022-01-20,Superstore,2022,1,2022,1
853,6116,2019-03-20,Medium,6,9620.82,0.04,Regular Air,-1865.1548,1637.53,24.49,Barry Weirich,Nunavut,Nunavut,Corporate,Office Supplies,"Scissors, Rulers and Trimmers",High Speed Automatic Electric Letter Opener,Medium Box,0.8586000000000001,2019-03-22,Superstore,2019,3,2019,3
863,6182,2022-07-21,Low,40,255.48,0.04,Regular Air,-123.7974,6.48,6.65,Grant Carroll,Nunavut,Nunavut,Corporate,Office Supplies,Paper,Xerox 1966,Small Box,0.3816,2022-07-28,Superstore,2022,7,2022,7
864,6182,2022-07-21,Low,18,130.32,0.04,Express Air,-71.3168,6.48,7.86,Grant Carroll,Nunavut,Nunavut,Corporate,Office Supplies,Paper,Xerox 213,Small Box,0.3922,2022-07-25,Superstore,2022,7,2022,7
911,6535,2022-06-12,Critical,11,312.36,0.07,Express Air,-20.4898,28.15,8.99,Adrian Hane,Nunavut,Nunavut,Corporate,Office Supplies,Pens & Art Supplies,"Boston Electric Pencil Sharpener, Model 1818, Charcoal Black",Small Pack,0.6042,2022-06-15,Superstore,2022,6,2022,6
950,6884,2019-01-15,Low,41,217.0,0.01,Regular Air,-59.3737,4.98,4.75,Skye Norling,Nunavut,Nunavut,Home Office,Office Supplies,Paper,Hammermill CopyPlus Copy Paper (20Lb. and 84 Bright),Small Box,0.3491999999999999,2019-01-20,Superstore,2019,1,2019,1
951,6884,2019-01-15,Low,47,296.13,0.04,Regular Air,115.5173,6.35,1.02,Skye Norling,Nunavut,Nunavut,Home Office,Office Supplies,Paper,"Telephone Message Books with Fax/Mobile Section, 5 1/2"" x 3 3/16""",Wrap Bag,0.3783,2019-01-20,Superstore,2019,1,2019,1
956,6916,2020-06-04,Low,40,436.17,0.08,Express Air,-122.9049,10.9,7.46,Andrew Gjertsen,Nunavut,Nunavut,Consumer,Office Supplies,Storage & Organization,Crate-A-FilesÈ,Small Box,0.5133,2020-06-08,Superstore,2020,6,2020,6
963,6980,2020-02-18,Not Specified,18,136.29,0.05,Regular Air,-67.2336,7.3,7.72,Ralph Knight,Nunavut,Nunavut,Consumer,Office Supplies,Binders and Binder Accessories,"Angle-D Binders with Locking Rings, Label Holders",Small Box,0.3306,2020-02-19,Superstore,2020,2,2020,2
964,6982,2021-11-16,Not Specified,32,1311.25,0.0,Express Air,431.8864,39.48,1.99,Dorothy Wardle,Nunavut,Nunavut,Corporate,Technology,Computer Peripherals,"80 Minute CD-R Spindle, 100/Pack - Staples",Small Pack,0.5724,2021-11-18,Superstore,2021,11,2021,11
965,6982,2021-11-16,Not Specified,5,544.41,0.09,Delivery Truck,-358.5662,100.98,57.38,Dorothy Wardle,Nunavut,Nunavut,Corporate,Furniture,Bookcases,"Bush Westfield Collection Bookcases, Dark Cherry Finish, Fully Assembled",Jumbo Box,0.8268000000000001,2021-11-18,Superstore,2021,11,2021,11
966,6982,2021-11-16,Not Specified,41,844.09,0.04,Regular Air,55.71360000000001,19.98,10.49,Dorothy Wardle,Nunavut,Nunavut,Corporate,Furniture,Office Furnishings,12-1/2 Diameter Round Wall Clock,Small Box,0.5194,2021-11-18,Superstore,2021,11,2021,11
988,7110,2021-08-07,Low,22,6396.2,0.02,Regular Air,2016.3744,276.2,24.49,Grant Carroll,Nunavut,Nunavut,Corporate,Furniture,Chairs & Chairmats,SAFCO Arco Folding Chair,Large Box,,2021-08-11,Superstore,2021,8,2021,8
1017,7430,2020-06-08,Medium,50,751.77,0.05,Regular Air,374.392,15.67,1.39,Barry Weirich,Nunavut,Nunavut,Corporate,Office Supplies,Envelopes,"#10 White Business Envelopes,4 1/8 x 9 1/2",Small Box,0.4028,2020-06-09,Superstore,2020,6,2020,6
1073,7906,2019-10-17,Medium,37,1003.06,0.03,Regular Air,236.4486,25.98,5.37,Beth Paige,Nunavut,Nunavut,Consumer,Office Supplies,Appliances,3M Office Air Cleaner,Medium Box,0.435,2019-10-17,Superstore,2019,10,2019,10
1154,8391,2021-08-28,High,4,1266.72,0.04,Delivery Truck,-284.46160000000003,300.98,64.73,Sylvia Foulston,Nunavut,Nunavut,Corporate,Furniture,Chairs & Chairmats,"Global Leather and Oak Executive Chair, Black",Jumbo Drum,0.5936000000000001,2021-08-29,Superstore,2021,8,2021,8
1156,8419,2021-09-29,Critical,19,368.04,0.07,Express Air,70.39,19.98,5.97,Nicole Hansen,Nunavut,Nunavut,Small Business,Office Supplies,Paper,Xerox 1936,Small Box,0.38,2021-10-01,Superstore,2021,9,2021,10
1157,8419,2021-09-29,Critical,24,152.6,0.1,Regular Air,-86.62,6.48,7.03,Nicole Hansen,Nunavut,Nunavut,Small Business,Office Supplies,Paper,Xerox 214,Small Box,0.37,2021-09-30,Superstore,2021,9,2021,9
1205,8833,2022-05-04,Low,40,3338.98,0.0,Regular Air,-846.73,80.98,35.0,Nicole Hansen,Nunavut,Nunavut,Small Business,Office Supplies,Storage & Organization,Carina Double Wide Media Storage Towers in Natural & Black,Large Box,0.81,2022-05-08,Superstore,2022,5,2022,5
1226,8995,2021-05-17,High,5,24.16,0.08,Express Air,7.003500000000001,1.88,1.49,Beth Paige,Nunavut,Nunavut,Consumer,Office Supplies,Binders and Binder Accessories,StaplesÂ General Use 3-Ring Binders,Small Box,0.3219,2021-05-18,Superstore,2021,5,2021,5
1227,8995,2021-05-17,High,41,270.84,0.1,Express Air,-67.8774,6.48,5.86,Beth Paige,Northwest Territories,Northwest Territories,Consumer,Office Supplies,Paper,Xerox 1904,Small Box,0.3132,2021-05-18,Superstore,2021,5,2021,5
1228,8995,2021-05-17,High,35,3389.93,0.08,Express Air,642.0078000000001,102.3,21.26,Beth Paige,Northwest Territories,Northwest Territories,Consumer,Furniture,Office Furnishings,Luxo Professional Combination Clamp-On Lamps,Large Box,0.5133,2021-05-18,Superstore,2021,5,2021,5
1229,8995,2021-05-17,High,42,266.36,0.07,Regular Air,-166.4136,6.48,8.19,Beth Paige,Northwest Territories,Northwest Territories,Consumer,Office Supplies,Paper,Xerox 217,Small Box,0.3219,2021-05-18,Superstore,2021,5,2021,5
1230,8995,2021-05-17,High,46,89.41,0.01,Regular Air,-18.6963,1.89,0.76,Beth Paige,Northwest Territories,Northwest Territories,Consumer,Office Supplies,Rubber Bands,Revere Boxed Rubber Bands by Revere,Wrap Bag,0.7221,2021-05-19,Superstore,2021,5,2021,5
1258,9126,2019-11-17,Medium,47,2799.7,0.04,Regular Air,937.1248,62.05,3.99,Sylvia Foulston,Northwest Territories,Northwest Territories,Corporate,Office Supplies,Appliances,"Acco SmartsocketÈ Table Surge Protector, 6 Color-Coded Adapter Outlets",Small Box,0.5830000000000001,2019-11-18,Superstore,2019,11,2019,11
1259,9127,2021-10-10,Not Specified,7,2039.56,0.04,Express Air,-349.2594,279.48,35.0,Bryan Davis,Northwest Territories,Northwest Territories,Corporate,Office Supplies,Storage & Organization,"Tennsco Snap-Together Open Shelving Units, Starter Sets and Add-On Units",Large Box,0.8480000000000001,2021-10-12,Superstore,2021,10,2021,10
1299,9509,2022-10-07,Not Specified,36,12175.82,0.02,Delivery Truck,2740.3955,320.98,58.95,Joy Bell,Northwest Territories,Northwest Territories,Home Office,Furniture,Chairs & Chairmats,Hon 4070 Series PagodaÈ Round Back Stacking Chairs,Jumbo Drum,0.5529,2022-10-08,Superstore,2022,10,2022,10
1300,9509,2022-10-07,Not Specified,5,101.21,0.1,Express Air,2.0661,18.97,5.21,Joy Bell,Northwest Territories,Northwest Territories,Home Office,Office Supplies,Paper,Xerox 1887,Small Box,0.3589,2022-10-08,Superstore,2022,10,2022,10
1301,9509,2022-10-07,Not Specified,32,1585.64,0.02,Regular Air,685.9354999999999,48.91,5.81,Joy Bell,Northwest Territories,Northwest Territories,Home Office,Office Supplies,Paper,Xerox 1891,Small Box,0.3686,2022-10-07,Superstore,2022,10,2022,10
1337,9763,2021-08-13,Medium,44,176.26,0.07,Regular Air,79.6378,4.13,0.5,Alan Barnes,Northwest Territories,Northwest Territories,Corporate,Office Supplies,Labels,Avery 506,Small Box,0.4134,2021-08-16,Superstore,2021,8,2021,8
1370,9927,2021-08-16,High,32,4655.07,0.0,Delivery Truck,-286.8678,140.98,53.48,Grant Carroll,Northwest Territories,Northwest Territories,Corporate,Furniture,Bookcases,"Bush Heritage Pine Collection 5-Shelf Bookcase, Albany Pine Finish, *Special Order",Jumbo Box,0.6890000000000001,2021-08-17,Superstore,2021,8,2021,8
1371,9927,2021-08-16,High,44,10087.6,0.01,Regular Air,3590.591,218.08,18.06,Grant Carroll,Northwest Territories,Northwest Territories,Corporate,Furniture,Chairs & Chairmats,"Lifetime AdvantageÈ Folding Chairs, 4/Carton",Large Box,0.6042,2021-08-17,Superstore,2021,8,2021,8
1372,9927,2021-08-16,High,34,1608.08,0.09,Express Air,-87.0896,50.98,6.5,Grant Carroll,Northwest Territories,Northwest Territories,Corporate,Technology,Computer Peripherals,Microsoft Natural Multimedia Keyboard,Small Box,0.7738,2021-08-17,Superstore,2021,8,2021,8
1380,10022,2019-03-04,Low,1,12.18,0.06,Regular Air,-3.88,10.14,2.27,Delfina Latchford,Northwest Territories,Northwest Territories,Small Business,Office Supplies,Paper,"Staples Wirebound Steno Books, 6"" x 9"", 12/Pack",Wrap Bag,0.36,2019-03-04,Superstore,2019,3,2019,3
1445,10437,2019-08-18,Critical,50,820.52,0.01,Regular Air,-202.6932,15.99,13.18,Don Jones,Northwest Territories,Northwest Territories,Corporate,Office Supplies,Binders and Binder Accessories,"GBC Pre-Punched Binding Paper, Plastic, White, 8-1/2"" x 11""",Small Box,0.3922,2019-08-20,Superstore,2019,8,2019,8
1457,10499,2020-11-16,Not Specified,29,6250.936,0.01,Delivery Truck,33.0826,262.11,62.74,Doug Bickford,Northwest Territories,Northwest Territories,Corporate,Furniture,Tables,Bevis Boat-Shaped Conference Table,Jumbo Box,0.795,2020-11-17,Superstore,2020,11,2020,11
1462,10535,2021-05-27,Low,25,854.88,0.09,Regular Air,-46.7884,33.98,19.99,Doug Bickford,Northwest Territories,Northwest Territories,Corporate,Furniture,Office Furnishings,"LindenÂ 12"" Wall Clock With Oak Frame",Small Box,0.5830000000000001,2021-05-29,Superstore,2021,5,2021,5
